,Forecast_time,Humidity,Cloud,Temperature,WindDirection,WindSpeed
0,20210611 0:00,90.0,4.0,23.0,232.0,2.3
1,20210611 1:00,91.66666666666667,3.6666666666666665,22.333333333333332,235.33333333333334,2.0999999999999996
2,20210611 2:00,93.33333333333333,3.3333333333333335,21.666666666666668,238.66666666666666,1.9
3,20210611 3:00,95.0,3.0,21.0,242.0,1.7
4,20210611 4:00,95.0,2.3333333333333335,21.0,263.6666666666667,1.4666666666666666
5,20210611 5:00,95.0,1.6666666666666667,21.0,285.3333333333333,1.2333333333333334
6,20210611 6:00,95.0,1.0,21.0,307.0,1.0
7,20210611 7:00,88.33333333333333,1.0,22.333333333333332,322.0,0.9
8,20210611 8:00,81.66666666666667,1.0,23.666666666666668,337.0,0.7999999999999999
9,20210611 9:00,75.0,1.0,25.0,352.0,0.7
10,20210611 10:00,70.0,1.6666666666666665,25.666666666666668,275.0,1.3333333333333335
11,20210611 11:00,65.0,2.333333333333333,26.333333333333332,198.0,1.9666666666666668
12,20210611 12:00,60.0,3.0,27.0,121.0,2.6
13,20210611 13:00,61.666666666666664,2.3333333333333335,26.666666666666668,122.33333333333333,2.6666666666666665
14,20210611 14:00,63.333333333333336,1.6666666666666667,26.333333333333332,123.66666666666667,2.7333333333333334
15,20210611 15:00,65.0,1.0,26.0,125.0,2.8
16,20210611 16:00,68.33333333333333,1.6666666666666665,25.333333333333332,124.33333333333333,2.6666666666666665
17,20210611 17:00,71.66666666666667,2.333333333333333,24.666666666666668,123.66666666666667,2.533333333333333
18,20210611 18:00,75.0,3.0,24.0,123.0,2.4
19,20210611 19:00,80.0,2.3333333333333335,23.333333333333332,127.0,1.8666666666666667
20,20210611 20:00,85.0,1.6666666666666667,22.666666666666668,131.0,1.3333333333333333
21,20210611 21:00,90.0,1.0,22.0,135.0,0.8
22,20210611 22:00,90.0,1.0,22.0,158.0,0.8666666666666667
23,20210611 23:00,90.0,1.0,22.0,181.0,0.9333333333333333
